Name: Manor Road East, Instruction: Head west on Manor Road East, Distance: 654.2 meters, Time: 471.0 seconds
Name: Manor Lane, Instruction: Turn right onto Manor Lane, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn left, Distance: 296.1 meters, Time: 213.2 seconds
Name: -, Instruction: Turn left, Distance: 38.0 meters, Time: 27.4 seconds
Name: -, Instruction: Continue straight, Distance: 127.4 meters, Time: 91.7 seconds
Name: -, Instruction: Turn right, Distance: 77.8 meters, Time: 56.0 seconds
Name: Hillsdale Avenue West, Instruction: Turn left onto Hillsdale Avenue West, Distance: 202.2 meters, Time: 145.6 seconds
Name: -, Instruction: Turn right, Distance: 5.8 meters, Time: 4.1 seconds
Name: -, Instruction: Turn left, Distance: 263.8 meters, Time: 189.9 seconds
Name: -, Instruction: Turn left, Distance: 19.5 meters, Time: 14.1 seconds
Name: -, Instruction: Turn left, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Turn right, Distance: 86.2 meters, Time: 62.0 seconds
Name: -, Instruction: Turn left, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Turn right, Distance: 91.4 meters, Time: 65.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
