Name: Bunnell Crescent, Instruction: Head east on Bunnell Crescent, Distance: 168.8 meters, Time: 121.5 seconds
Name: Wandle Avenue, Instruction: Turn left onto Wandle Avenue, Distance: 110.5 meters, Time: 79.6 seconds
Name: -, Instruction: Turn right, Distance: 490.0 meters, Time: 352.8 seconds
Name: -, Instruction: Turn right, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Turn left, Distance: 240.0 meters, Time: 172.8 seconds
Name: -, Instruction: Keep left, Distance: 50.2 meters, Time: 36.1 seconds
Name: -, Instruction: Turn left, Distance: 77.8 meters, Time: 56.0 seconds
Name: -, Instruction: Turn left, Distance: 994.4 meters, Time: 715.9 seconds
Name: -, Instruction: Turn right, Distance: 103.6 meters, Time: 74.6 seconds
Name: Erie Street, Instruction: Turn left onto Erie Street, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Arrive at Erie Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
