Name: Sabana Place, Instruction: Head north on Sabana Place, Distance: 37.1 meters, Time: 26.7 seconds
Name: -, Instruction: Turn left, Distance: 53.2 meters, Time: 38.3 seconds
Name: -, Instruction: Turn right, Distance: 9.4 meters, Time: 6.8 seconds
Name: -, Instruction: Turn left, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Keep left, Distance: 14.0 meters, Time: 10.1 seconds
Name: -, Instruction: Turn right, Distance: 67.4 meters, Time: 48.5 seconds
Name: -, Instruction: Keep right, Distance: 51.2 meters, Time: 36.9 seconds
Name: SH-18 Cycleway, Instruction: Turn left onto SH-18 Cycleway, Distance: 227.4 meters, Time: 163.7 seconds
Name: SH-18 Cycleway, Instruction: Turn right onto SH-18 Cycleway, Distance: 8.6 meters, Time: 6.2 seconds
Name: SH-18 Cycleway, Instruction: Keep left onto SH-18 Cycleway, Distance: 680.8 meters, Time: 490.2 seconds
Name: SH-18 Cycleway, Instruction: Keep right onto SH-18 Cycleway, Distance: 344.2 meters, Time: 247.8 seconds
Name: -, Instruction: Turn left, Distance: 117.7 meters, Time: 84.8 seconds
Name: Omega Street, Instruction: Turn left onto Omega Street, Distance: 355.6 meters, Time: 256.0 seconds
Name: William Pickering Drive, Instruction: Turn right onto William Pickering Drive, Distance: 60.8 meters, Time: 43.8 seconds
Name: William Pickering Drive, Instruction: Keep left onto William Pickering Drive, Distance: 28.9 meters, Time: 20.8 seconds
Name: William Pickering Drive, Instruction: Enter the roundabout and take the 3rd exit onto William Pickering Drive, Distance: 76.7 meters, Time: 55.2 seconds
Name: -, Instruction: Turn left, Distance: 90.1 meters, Time: 64.8 seconds
Name: Beatrice Tinsley Crescent, Instruction: Turn right onto Beatrice Tinsley Crescent, Distance: 16.9 meters, Time: 12.2 seconds
Name: -, Instruction: Turn left, Distance: 44.5 meters, Time: 32.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
