Name: Beach Haven Road, Instruction: Head east on Beach Haven Road, Distance: 21.3 meters, Time: 15.4 seconds
Name: -, Instruction: Turn left, Distance: 3.8 meters, Time: 2.7 seconds
Name: -, Instruction: Turn right, Distance: 43.5 meters, Time: 31.3 seconds
Name: -, Instruction: Turn right, Distance: 6.0 meters, Time: 4.4 seconds
Name: -, Instruction: Turn left, Distance: 694.4 meters, Time: 500.0 seconds
Name: -, Instruction: Turn right, Distance: 13.5 meters, Time: 9.7 seconds
Name: -, Instruction: Turn right, Distance: 8.4 meters, Time: 6.0 seconds
Name: -, Instruction: Keep left, Distance: 302.8 meters, Time: 218.0 seconds
Name: -, Instruction: Turn slight right, Distance: 12.6 meters, Time: 9.1 seconds
Name: -, Instruction: Turn right, Distance: 76.4 meters, Time: 55.0 seconds
Name: -, Instruction: Keep right, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Turn slight right, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Turn left, Distance: 399.8 meters, Time: 287.9 seconds
Name: -, Instruction: Keep left, Distance: 8.8 meters, Time: 6.3 seconds
Name: Roseneath Place, Instruction: Turn left onto Roseneath Place, Distance: 8.0 meters, Time: 5.8 seconds
Name: -, Instruction: Arrive at Roseneath Place, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
