Name: Farmcote Road, Instruction: Head northeast on Farmcote Road, Distance: 29.1 meters, Time: 21.0 seconds
Name: -, Instruction: Turn right, Distance: 3.7 meters, Time: 2.6 seconds
Name: -, Instruction: Turn left, Distance: 112.0 meters, Time: 80.6 seconds
Name: -, Instruction: Turn right, Distance: 182.0 meters, Time: 131.1 seconds
Name: -, Instruction: Keep left, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Turn slight left, Distance: 106.6 meters, Time: 76.7 seconds
Name: -, Instruction: Turn slight left, Distance: 249.5 meters, Time: 179.6 seconds
Name: -, Instruction: Keep left, Distance: 28.3 meters, Time: 20.4 seconds
Name: -, Instruction: Turn slight left, Distance: 63.5 meters, Time: 45.7 seconds
Name: -, Instruction: Turn left, Distance: 13.0 meters, Time: 9.4 seconds
Name: -, Instruction: Turn slight left, Distance: 174.1 meters, Time: 125.3 seconds
Name: -, Instruction: Keep left, Distance: 98.4 meters, Time: 70.9 seconds
Name: -, Instruction: Turn left, Distance: 69.9 meters, Time: 50.3 seconds
Name: -, Instruction: Turn left, Distance: 401.7 meters, Time: 289.3 seconds
Name: -, Instruction: Turn left, Distance: 15.3 meters, Time: 11.0 seconds
Name: -, Instruction: Turn left, Distance: 109.5 meters, Time: 78.8 seconds
Name: -, Instruction: Turn right, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
