Name: Blaxland Road, Instruction: Head northeast on Blaxland Road, Distance: 83.8 meters, Time: 60.4 seconds
Name: -, Instruction: Turn right, Distance: 22.5 meters, Time: 16.2 seconds
Name: -, Instruction: Turn right, Distance: 12.3 meters, Time: 8.9 seconds
Name: -, Instruction: Turn left, Distance: 886.3 meters, Time: 638.1 seconds
Name: -, Instruction: Turn right, Distance: 30.9 meters, Time: 22.3 seconds
Name: -, Instruction: Turn right, Distance: 45.6 meters, Time: 32.8 seconds
Name: -, Instruction: Keep left, Distance: 20.0 meters, Time: 14.4 seconds
Name: -, Instruction: Turn right, Distance: 100.9 meters, Time: 72.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 64.4 meters, Time: 46.3 seconds
Name: -, Instruction: Turn right, Distance: 21.4 meters, Time: 15.4 seconds
Name: -, Instruction: Turn left, Distance: 41.9 meters, Time: 30.2 seconds
Name: -, Instruction: Turn left, Distance: 42.4 meters, Time: 30.5 seconds
Name: -, Instruction: Turn left, Distance: 1.8 meters, Time: 1.3 seconds
Name: -, Instruction: Turn right, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn right, Distance: 33.4 meters, Time: 24.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
