Name: Sonderend Road, Instruction: Head south on Sonderend Road, Distance: 116.2 meters, Time: 83.7 seconds
Name: Seine Road, Instruction: Turn right onto Seine Road, Distance: 60.8 meters, Time: 43.8 seconds
Name: Thames Avenue, Instruction: Turn left onto Thames Avenue, Distance: 475.1 meters, Time: 342.1 seconds
Name: -, Instruction: Turn right, Distance: 26.0 meters, Time: 18.7 seconds
Name: -, Instruction: Turn left, Distance: 82.3 meters, Time: 59.2 seconds
Name: -, Instruction: Turn left, Distance: 35.9 meters, Time: 25.9 seconds
Name: The Downs Road, Instruction: Turn right onto The Downs Road, Distance: 19.9 meters, Time: 14.3 seconds
Name: The Downs Road, Instruction: Keep left onto The Downs Road, Distance: 16.6 meters, Time: 12.0 seconds
Name: Manenberg Avenue, Instruction: Enter the roundabout and take the 1st exit onto Manenberg Avenue, Distance: 590.6 meters, Time: 425.2 seconds
Name: -, Instruction: Keep left, Distance: 47.2 meters, Time: 34.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
