Name: Earlswood Street, Instruction: Head south on Earlswood Street, Distance: 6.2 meters, Time: 4.4 seconds
Name: -, Instruction: Turn right, Distance: 183.8 meters, Time: 132.3 seconds
Name: -, Instruction: Keep right, Distance: 149.8 meters, Time: 107.8 seconds
Name: -, Instruction: Turn right, Distance: 13.2 meters, Time: 9.5 seconds
Name: -, Instruction: Turn left, Distance: 118.0 meters, Time: 85.0 seconds
Name: -, Instruction: Continue straight, Distance: 91.4 meters, Time: 65.8 seconds
Name: -, Instruction: Keep left, Distance: 105.6 meters, Time: 76.0 seconds
Name: -, Instruction: Turn left, Distance: 267.9 meters, Time: 192.9 seconds
Name: -, Instruction: Turn right, Distance: 7.7 meters, Time: 5.6 seconds
Name: -, Instruction: Turn left, Distance: 41.3 meters, Time: 29.7 seconds
Name: -, Instruction: Turn right, Distance: 76.0 meters, Time: 54.7 seconds
Name: -, Instruction: Turn left, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Turn left, Distance: 21.2 meters, Time: 15.3 seconds
Name: -, Instruction: Turn left, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
