Name: Rue Delabordère, Instruction: Head north on Rue Delabordère, Distance: 248.6 meters, Time: 179.0 seconds
Name: Rue du Bois de Boulogne, Instruction: Turn right onto Rue du Bois de Boulogne, Distance: 200.5 meters, Time: 144.4 seconds
Name: -, Instruction: Turn left, Distance: 401.7 meters, Time: 289.2 seconds
Name: -, Instruction: Turn right, Distance: 37.4 meters, Time: 26.9 seconds
Name: -, Instruction: Turn right, Distance: 95.4 meters, Time: 68.7 seconds
Name: -, Instruction: Turn left, Distance: 45.4 meters, Time: 32.7 seconds
Name: Avenue Charles de Gaulle, Instruction: Turn right onto Avenue Charles de Gaulle, Distance: 9.7 meters, Time: 7.0 seconds
Name: Rue de l'Église, Instruction: Turn left onto Rue de l'Église, Distance: 173.9 meters, Time: 125.2 seconds
Name: Avenue Achille Peretti, Instruction: Turn right onto Avenue Achille Peretti, Distance: 283.3 meters, Time: 204.0 seconds
Name: Rue de Chézy, Instruction: Turn left onto Rue de Chézy, Distance: 909.6 meters, Time: 654.9 seconds
Name: -, Instruction: Turn left, Distance: 20.3 meters, Time: 14.6 seconds
Name: -, Instruction: Turn left, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
