Name: North Hill, B519, Instruction: Head northwest on North Hill, B519, Distance: 18.3 meters, Time: 13.2 seconds
Name: Church Road, Instruction: Turn right onto Church Road, Distance: 221.3 meters, Time: 159.3 seconds
Name: -, Instruction: Turn left, Distance: 36.1 meters, Time: 26.0 seconds
Name: -, Instruction: Turn right, Distance: 12.9 meters, Time: 9.3 seconds
Name: Archway Road, Instruction: Turn right onto Archway Road, Distance: 32.3 meters, Time: 23.3 seconds
Name: -, Instruction: Turn left, Distance: 53.9 meters, Time: 38.8 seconds
Name: -, Instruction: Keep right, Distance: 33.0 meters, Time: 23.8 seconds
Name: -, Instruction: Turn right, Distance: 75.6 meters, Time: 54.4 seconds
Name: -, Instruction: Turn left, Distance: 71.3 meters, Time: 51.3 seconds
Name: -, Instruction: Turn left, Distance: 130.3 meters, Time: 93.8 seconds
Name: -, Instruction: Keep right, Distance: 44.4 meters, Time: 32.0 seconds
Name: -, Instruction: Turn right, Distance: 106.1 meters, Time: 76.4 seconds
Name: -, Instruction: Keep left, Distance: 126.0 meters, Time: 90.7 seconds
Name: -, Instruction: Turn left, Distance: 19.2 meters, Time: 13.8 seconds
Name: -, Instruction: Keep right, Distance: 269.8 meters, Time: 194.3 seconds
Name: Connaught Gardens, Instruction: Turn slight right onto Connaught Gardens, Distance: 314.7 meters, Time: 226.6 seconds
Name: Cranley Gardens, Instruction: Turn left onto Cranley Gardens, Distance: 189.4 meters, Time: 136.3 seconds
Name: -, Instruction: Arrive at Cranley Gardens, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
