Name: Lengkong Empat, Instruction: Head east on Lengkong Empat, Distance: 6.0 meters, Time: 4.3 seconds
Name: Jalan Selamat, Instruction: Turn right onto Jalan Selamat, Distance: 99.4 meters, Time: 71.6 seconds
Name: Jalan Senang, Instruction: Turn left onto Jalan Senang, Distance: 7.0 meters, Time: 5.0 seconds
Name: -, Instruction: Turn right, Distance: 51.3 meters, Time: 36.9 seconds
Name: -, Instruction: Keep left, Distance: 113.7 meters, Time: 81.9 seconds
Name: -, Instruction: Turn right, Distance: 3.9 meters, Time: 2.8 seconds
Name: Jalan Senang, Instruction: Turn left onto Jalan Senang, Distance: 3.6 meters, Time: 2.6 seconds
Name: Jalan Senang, Instruction: Turn right onto Jalan Senang, Distance: 15.5 meters, Time: 11.1 seconds
Name: Jalan Senang, Instruction: Turn left onto Jalan Senang, Distance: 180.3 meters, Time: 129.8 seconds
Name: -, Instruction: Turn left, Distance: 166.0 meters, Time: 119.5 seconds
Name: -, Instruction: Turn right, Distance: 1.2 meters, Time: 0.9 seconds
Name: -, Instruction: Turn left, Distance: 20.7 meters, Time: 14.9 seconds
Name: -, Instruction: Turn left, Distance: 1.3 meters, Time: 0.9 seconds
Name: -, Instruction: Turn right, Distance: 522.6 meters, Time: 376.3 seconds
Name: -, Instruction: Turn right, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Turn left, Distance: 20.1 meters, Time: 14.5 seconds
Name: -, Instruction: Turn left, Distance: 1.9 meters, Time: 1.4 seconds
Name: -, Instruction: Turn right, Distance: 94.1 meters, Time: 67.8 seconds
Name: -, Instruction: Turn right, Distance: 14.4 meters, Time: 10.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
