Name: Wigmore Park Path, Instruction: Head southwest on Wigmore Park Path, Distance: 76.6 meters, Time: 55.2 seconds
Name: Connector Path, Instruction: Turn left onto Connector Path, Distance: 36.2 meters, Time: 26.1 seconds
Name: Elvaston Drive, Instruction: Turn left onto Elvaston Drive, Distance: 537.6 meters, Time: 387.0 seconds
Name: Belper Court, Instruction: Turn sharp right onto Belper Court, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn sharp left, Distance: 112.6 meters, Time: 81.1 seconds
Name: -, Instruction: Turn right, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn left, Distance: 24.1 meters, Time: 17.4 seconds
Name: -, Instruction: Turn right, Distance: 541.1 meters, Time: 389.6 seconds
Name: -, Instruction: Turn left, Distance: 76.2 meters, Time: 54.8 seconds
Name: -, Instruction: Turn right, Distance: 15.7 meters, Time: 11.3 seconds
Name: -, Instruction: Turn left, Distance: 72.1 meters, Time: 51.9 seconds
Name: -, Instruction: Turn right, Distance: 38.0 meters, Time: 27.4 seconds
Name: -, Instruction: Turn right, Distance: 21.6 meters, Time: 15.5 seconds
Name: -, Instruction: Turn left, Distance: 17.1 meters, Time: 12.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
