Name: شارع على لبيب, Instruction: Head north on شارع على لبيب, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Turn left, Distance: 62.5 meters, Time: 45.0 seconds
Name: شارع الشيخ جاد الحق, Instruction: Turn right onto شارع الشيخ جاد الحق, Distance: 11.7 meters, Time: 8.4 seconds
Name: -, Instruction: Turn left, Distance: 11.6 meters, Time: 8.4 seconds
Name: شارع الشيخ جاد الحق, Instruction: Turn left onto شارع الشيخ جاد الحق, Distance: 64.5 meters, Time: 46.5 seconds
Name: -, Instruction: Turn right, Distance: 223.6 meters, Time: 161.0 seconds
Name: محور مصطفى كامل, Instruction: Turn left onto محور مصطفى كامل, Distance: 81.2 meters, Time: 58.4 seconds
Name: -, Instruction: Keep right, Distance: 35.0 meters, Time: 25.2 seconds
Name: محور مصطفى كامل, Instruction: Turn sharp left onto محور مصطفى كامل, Distance: 256.7 meters, Time: 184.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 39.7 meters, Time: 28.6 seconds
Name: محور مصطفى كامل الجانبى, Instruction: Turn sharp left onto محور مصطفى كامل الجانبى, Distance: 68.2 meters, Time: 49.1 seconds
Name: -, Instruction: Turn right, Distance: 614.1 meters, Time: 442.1 seconds
Name: -, Instruction: Turn right, Distance: 225.7 meters, Time: 162.5 seconds
Name: -, Instruction: Turn left, Distance: 17.6 meters, Time: 12.7 seconds
Name: -, Instruction: Turn left, Distance: 44.8 meters, Time: 32.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
