Name: Evelyn Avenue, Instruction: Head southeast on Evelyn Avenue, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 139.7 meters, Time: 100.5 seconds
Name: -, Instruction: Turn right, Distance: 430.2 meters, Time: 309.8 seconds
Name: -, Instruction: Turn slight left, Distance: 23.5 meters, Time: 17.0 seconds
Name: Pathway of Peace, Instruction: Turn right onto Pathway of Peace, Distance: 17.3 meters, Time: 12.4 seconds
Name: -, Instruction: Turn left, Distance: 282.9 meters, Time: 203.7 seconds
Name: Shackel Avenue, Instruction: Turn left onto Shackel Avenue, Distance: 99.2 meters, Time: 71.4 seconds
Name: Ludgate Street, Instruction: Turn right onto Ludgate Street, Distance: 309.2 meters, Time: 222.7 seconds
Name: -, Instruction: Turn left, Distance: 141.3 meters, Time: 101.8 seconds
Name: -, Instruction: Turn right, Distance: 16.1 meters, Time: 11.6 seconds
Name: -, Instruction: Turn left, Distance: 34.1 meters, Time: 24.6 seconds
Name: -, Instruction: Turn left, Distance: 9.1 meters, Time: 6.6 seconds
Name: Flavelle Street, Instruction: Turn right onto Flavelle Street, Distance: 13.1 meters, Time: 9.4 seconds
Name: -, Instruction: Turn left, Distance: 88.5 meters, Time: 63.7 seconds
Name: Curtin Place, Instruction: Continue straight onto Curtin Place, Distance: 170.3 meters, Time: 122.6 seconds
Name: -, Instruction: Turn left, Distance: 152.3 meters, Time: 109.6 seconds
Name: Davidson Lane, Instruction: Turn right onto Davidson Lane, Distance: 5.9 meters, Time: 4.3 seconds
Name: Davidson Avenue, Instruction: Turn left onto Davidson Avenue, Distance: 259.3 meters, Time: 186.7 seconds
Name: Clermont Lane, Instruction: Turn right onto Clermont Lane, Distance: 98.6 meters, Time: 71.0 seconds
Name: -, Instruction: Turn left, Distance: 40.6 meters, Time: 29.3 seconds
Name: -, Instruction: Turn right, Distance: 17.0 meters, Time: 12.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
