Name: Monk's Hill Road, Instruction: Head north on Monk's Hill Road, Distance: 146.9 meters, Time: 105.8 seconds
Name: -, Instruction: Turn right, Distance: 90.2 meters, Time: 65.0 seconds
Name: -, Instruction: Turn left, Distance: 11.4 meters, Time: 8.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 79.8 meters, Time: 57.5 seconds
Name: -, Instruction: Keep left, Distance: 42.1 meters, Time: 30.3 seconds
Name: -, Instruction: Turn left, Distance: 10.5 meters, Time: 7.5 seconds
Name: -, Instruction: Turn right, Distance: 175.1 meters, Time: 126.1 seconds
Name: -, Instruction: Turn left, Distance: 37.2 meters, Time: 26.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 157.2 meters, Time: 113.2 seconds
Name: Lincoln Road, Instruction: Turn left onto Lincoln Road, Distance: 382.6 meters, Time: 275.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 1.0 meters, Time: 0.7 seconds
Name: -, Instruction: Turn sharp left, Distance: 44.8 meters, Time: 32.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 64.1 meters, Time: 46.1 seconds
Name: Goldhill Plaza, Instruction: Turn right onto Goldhill Plaza, Distance: 31.3 meters, Time: 22.5 seconds
Name: -, Instruction: Turn left, Distance: 35.7 meters, Time: 25.7 seconds
Name: -, Instruction: Turn right, Distance: 84.3 meters, Time: 60.7 seconds
Name: -, Instruction: Turn left, Distance: 67.2 meters, Time: 48.4 seconds
Name: -, Instruction: Turn right, Distance: 19.3 meters, Time: 13.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 753.9 meters, Time: 542.8 seconds
Name: -, Instruction: Turn slight right, Distance: 212.9 meters, Time: 153.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 3.2 meters, Time: 2.3 seconds
Name: Moulmein Road, Instruction: Turn right onto Moulmein Road, Distance: 23.8 meters, Time: 17.2 seconds
Name: -, Instruction: Arrive at Moulmein Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
