Name: Lamb's Conduit Street, Instruction: Head north on Lamb's Conduit Street, Distance: 39.6 meters, Time: 28.5 seconds
Name: Dombey Street, Instruction: Turn left onto Dombey Street, Distance: 77.4 meters, Time: 55.8 seconds
Name: -, Instruction: Continue straight, Distance: 47.1 meters, Time: 33.9 seconds
Name: -, Instruction: Continue straight, Distance: 22.9 meters, Time: 16.5 seconds
Name: New North Street, Instruction: Turn right onto New North Street, Distance: 75.0 meters, Time: 54.0 seconds
Name: -, Instruction: Turn right, Distance: 52.3 meters, Time: 37.6 seconds
Name: Ormond Close, Instruction: Turn left onto Ormond Close, Distance: 3.9 meters, Time: 2.8 seconds
Name: Boswell Street, Instruction: Turn right onto Boswell Street, Distance: 19.3 meters, Time: 13.9 seconds
Name: Queen Square, Instruction: Turn left onto Queen Square, Distance: 44.0 meters, Time: 31.7 seconds
Name: Queen Square, Instruction: Turn right onto Queen Square, Distance: 33.8 meters, Time: 24.4 seconds
Name: Cosmo Place, Instruction: Turn left onto Cosmo Place, Distance: 69.6 meters, Time: 50.1 seconds
Name: Southampton Row, Instruction: Turn right onto Southampton Row, Distance: 268.7 meters, Time: 193.5 seconds
Name: -, Instruction: Turn left, Distance: 35.9 meters, Time: 25.8 seconds
Name: -, Instruction: Turn right, Distance: 252.2 meters, Time: 181.6 seconds
Name: -, Instruction: Keep right, Distance: 9.5 meters, Time: 6.8 seconds
Name: -, Instruction: Turn right, Distance: 1.7 meters, Time: 1.3 seconds
Name: -, Instruction: Turn left, Distance: 63.5 meters, Time: 45.7 seconds
Name: -, Instruction: Turn left, Distance: 33.7 meters, Time: 24.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
