Name: Rue Fragonard, Instruction: Head northeast on Rue Fragonard, Distance: 70.2 meters, Time: 50.5 seconds
Name: Rue de la Jonquière, Instruction: Turn right onto Rue de la Jonquière, Distance: 57.3 meters, Time: 41.2 seconds
Name: -, Instruction: Turn left, Distance: 254.5 meters, Time: 183.2 seconds
Name: -, Instruction: Turn left, Distance: 9.5 meters, Time: 6.8 seconds
Name: -, Instruction: Turn right, Distance: 6.7 meters, Time: 4.8 seconds
Name: Rue Ernest Roche, Instruction: Turn right onto Rue Ernest Roche, Distance: 8.0 meters, Time: 5.8 seconds
Name: Rue Navier, Instruction: Turn left onto Rue Navier, Distance: 359.7 meters, Time: 259.0 seconds
Name: -, Instruction: Turn left, Distance: 35.6 meters, Time: 25.6 seconds
Name: -, Instruction: Turn right, Distance: 93.5 meters, Time: 67.3 seconds
Name: -, Instruction: Turn left, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn right, Distance: 19.0 meters, Time: 13.7 seconds
Name: -, Instruction: Turn left, Distance: 29.9 meters, Time: 21.5 seconds
Name: -, Instruction: Keep right, Distance: 41.7 meters, Time: 30.0 seconds
Name: -, Instruction: Turn left, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
