Name: Busy Street, Instruction: Head east on Busy Street, Distance: 91.9 meters, Time: 66.2 seconds
Name: Verral Avenue, Instruction: Turn right onto Verral Avenue, Distance: 67.8 meters, Time: 48.8 seconds
Name: -, Instruction: Turn left, Distance: 270.9 meters, Time: 195.0 seconds
Name: -, Instruction: Turn slight left, Distance: 351.4 meters, Time: 253.0 seconds
Name: -, Instruction: Turn left, Distance: 25.9 meters, Time: 18.6 seconds
Name: -, Instruction: Turn right, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn left, Distance: 9.8 meters, Time: 7.1 seconds
Name: -, Instruction: Turn slight left, Distance: 99.4 meters, Time: 71.5 seconds
Name: -, Instruction: Turn left, Distance: 141.8 meters, Time: 102.1 seconds
Name: -, Instruction: Turn right, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
