Name: Jalan Besut, Instruction: Head west on Jalan Besut, Distance: 64.0 meters, Time: 46.1 seconds
Name: -, Instruction: Turn right, Distance: 8.7 meters, Time: 6.2 seconds
Name: -, Instruction: Turn left, Distance: 26.3 meters, Time: 18.9 seconds
Name: -, Instruction: Turn right, Distance: 234.8 meters, Time: 169.1 seconds
Name: -, Instruction: Turn left, Distance: 63.3 meters, Time: 45.6 seconds
Name: -, Instruction: Turn right, Distance: 12.1 meters, Time: 8.7 seconds
Name: Jalan Terusan, Instruction: Turn left onto Jalan Terusan, Distance: 56.4 meters, Time: 40.6 seconds
Name: -, Instruction: Turn right, Distance: 8.7 meters, Time: 6.2 seconds
Name: -, Instruction: Turn left, Distance: 459.4 meters, Time: 330.8 seconds
Name: -, Instruction: Turn left, Distance: 20.3 meters, Time: 14.6 seconds
Name: -, Instruction: Turn slight right, Distance: 94.3 meters, Time: 67.9 seconds
Name: -, Instruction: Turn right, Distance: 19.4 meters, Time: 14.0 seconds
Name: -, Instruction: Turn left, Distance: 359.3 meters, Time: 258.7 seconds
Name: -, Instruction: Turn sharp left, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Turn slight left, Distance: 27.5 meters, Time: 19.8 seconds
Name: -, Instruction: Turn slight left, Distance: 3.8 meters, Time: 2.7 seconds
Name: -, Instruction: Turn right, Distance: 222.6 meters, Time: 160.3 seconds
Name: -, Instruction: Turn right, Distance: 13.5 meters, Time: 9.7 seconds
Name: -, Instruction: Turn slight right, Distance: 7.4 meters, Time: 5.3 seconds
Name: Jalan Tukang, Instruction: Turn left onto Jalan Tukang, Distance: 476.1 meters, Time: 342.8 seconds
Name: Chin Bee road, Instruction: Turn right onto Chin Bee road, Distance: 245.9 meters, Time: 177.1 seconds
Name: -, Instruction: Arrive at Chin Bee road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
