Name: شارع البلبيسي, Instruction: Head west on شارع البلبيسي, Distance: 172.7 meters, Time: 124.3 seconds
Name: -, Instruction: Turn left, Distance: 154.6 meters, Time: 111.3 seconds
Name: -, Instruction: Turn right, Distance: 79.5 meters, Time: 57.2 seconds
Name: -, Instruction: Turn left, Distance: 29.5 meters, Time: 21.2 seconds
Name: -, Instruction: Turn right, Distance: 29.7 meters, Time: 21.4 seconds
Name: شارع الكومنولث, Instruction: Turn left onto شارع الكومنولث, Distance: 27.3 meters, Time: 19.7 seconds
Name: شارع الكومنولث, Instruction: Turn right onto شارع الكومنولث, Distance: 293.1 meters, Time: 211.1 seconds
Name: شارع الكومنولث, Instruction: Turn left onto شارع الكومنولث, Distance: 83.6 meters, Time: 60.2 seconds
Name: شارع احمد تيسير, Instruction: Turn left onto شارع احمد تيسير, Distance: 176.4 meters, Time: 127.0 seconds
Name: شارع احمد تيسير, Instruction: Enter the roundabout and take the 1st exit onto شارع احمد تيسير, Distance: 249.0 meters, Time: 179.3 seconds
Name: شارع خضر التونى, Instruction: Turn left onto شارع خضر التونى, Distance: 468.7 meters, Time: 337.4 seconds
Name: شارع الطيران, Instruction: Turn slight left onto شارع الطيران, Distance: 45.9 meters, Time: 33.0 seconds
Name: -, Instruction: Turn right, Distance: 16.8 meters, Time: 12.1 seconds
Name: شارع الطيران, Instruction: Turn right onto شارع الطيران, Distance: 25.0 meters, Time: 18.0 seconds
Name: -, Instruction: Turn left, Distance: 6.0 meters, Time: 4.4 seconds
Name: -, Instruction: Turn right, Distance: 50.8 meters, Time: 36.6 seconds
Name: -, Instruction: Turn right, Distance: 21.7 meters, Time: 15.6 seconds
Name: شارع خضر التوني, Instruction: Turn right onto شارع خضر التوني, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn left, Distance: 21.0 meters, Time: 15.1 seconds
Name: شارع خضر التوني, Instruction: Turn slight left onto شارع خضر التوني, Distance: 105.5 meters, Time: 75.9 seconds
Name: -, Instruction: Turn right, Distance: 67.8 meters, Time: 48.8 seconds
Name: -, Instruction: Keep right, Distance: 67.3 meters, Time: 48.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
