Name: Rue Eblé, Instruction: Head west on Rue Eblé, Distance: 39.6 meters, Time: 28.5 seconds
Name: -, Instruction: Turn left, Distance: 5.6 meters, Time: 4.1 seconds
Name: Esplanade Jacques Chaban-Delmas, Instruction: Turn right onto Esplanade Jacques Chaban-Delmas, Distance: 37.2 meters, Time: 26.8 seconds
Name: Esplanade Jacques Chaban-Delmas, Instruction: Turn left onto Esplanade Jacques Chaban-Delmas, Distance: 113.0 meters, Time: 81.4 seconds
Name: Place de Breteuil, Instruction: Turn right onto Place de Breteuil, Distance: 12.8 meters, Time: 9.2 seconds
Name: Place de Breteuil, Instruction: Turn left onto Place de Breteuil, Distance: 124.8 meters, Time: 89.8 seconds
Name: -, Instruction: Turn right, Distance: 13.9 meters, Time: 10.0 seconds
Name: -, Instruction: Keep left, Distance: 70.6 meters, Time: 50.9 seconds
Name: -, Instruction: Turn left, Distance: 61.0 meters, Time: 43.9 seconds
Name: -, Instruction: Turn right, Distance: 14.2 meters, Time: 10.3 seconds
Name: -, Instruction: Turn slight left, Distance: 52.0 meters, Time: 37.5 seconds
Name: -, Instruction: Turn left, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Turn right, Distance: 183.6 meters, Time: 132.2 seconds
Name: -, Instruction: Turn right, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Turn left, Distance: 11.3 meters, Time: 8.2 seconds
Name: -, Instruction: Turn left, Distance: 2.8 meters, Time: 2.0 seconds
Name: -, Instruction: Turn slight right, Distance: 118.3 meters, Time: 85.1 seconds
Name: -, Instruction: Turn slight right, Distance: 2.8 meters, Time: 2.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
