Name: Feldmochinger Straße, Instruction: Head north on Feldmochinger Straße, Distance: 95.7 meters, Time: 68.9 seconds
Name: -, Instruction: Turn right, Distance: 86.0 meters, Time: 61.9 seconds
Name: -, Instruction: Turn left, Distance: 80.6 meters, Time: 58.0 seconds
Name: Ponkratzstraße, Instruction: Turn right onto Ponkratzstraße, Distance: 7.1 meters, Time: 5.1 seconds
Name: Lerchenauer Straße, Instruction: Turn left onto Lerchenauer Straße, Distance: 220.5 meters, Time: 158.8 seconds
Name: Josef-Frankl-Straße, Instruction: Turn left onto Josef-Frankl-Straße, Distance: 12.1 meters, Time: 8.7 seconds
Name: Lerchenauer Straße, Instruction: Turn right onto Lerchenauer Straße, Distance: 243.5 meters, Time: 175.3 seconds
Name: Herbergstraße, Instruction: Turn right onto Herbergstraße, Distance: 44.6 meters, Time: 32.1 seconds
Name: -, Instruction: Turn left, Distance: 36.3 meters, Time: 26.2 seconds
Name: -, Instruction: Turn left, Distance: 18.2 meters, Time: 13.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
