Name: Milford Avenue, Instruction: Head south on Milford Avenue, Distance: 56.2 meters, Time: 40.5 seconds
Name: Densley Avenue, Instruction: Continue straight onto Densley Avenue, Distance: 73.0 meters, Time: 52.5 seconds
Name: Densley Avenue, Instruction: Keep right onto Densley Avenue, Distance: 14.2 meters, Time: 10.2 seconds
Name: Densley Avenue, Instruction: Keep right onto Densley Avenue, Distance: 296.5 meters, Time: 213.5 seconds
Name: -, Instruction: Turn left, Distance: 11.4 meters, Time: 8.2 seconds
Name: -, Instruction: Keep left, Distance: 381.4 meters, Time: 274.6 seconds
Name: -, Instruction: Turn right, Distance: 26.2 meters, Time: 18.9 seconds
Name: -, Instruction: Keep left, Distance: 385.0 meters, Time: 277.2 seconds
Name: Strathnairn Avenue, Instruction: Turn left onto Strathnairn Avenue, Distance: 163.7 meters, Time: 117.8 seconds
Name: Richardson Avenue, Instruction: Turn right onto Richardson Avenue, Distance: 442.5 meters, Time: 318.6 seconds
Name: Yore Road, Instruction: Turn left onto Yore Road, Distance: 144.4 meters, Time: 103.9 seconds
Name: -, Instruction: Turn right, Distance: 57.2 meters, Time: 41.1 seconds
Name: Glenhaven Street, Instruction: Turn right onto Glenhaven Street, Distance: 115.9 meters, Time: 83.4 seconds
Name: Eglinton Avenue West, Instruction: Turn left onto Eglinton Avenue West, Distance: 11.9 meters, Time: 8.6 seconds
Name: Venn Crescent, Instruction: Turn right onto Venn Crescent, Distance: 9.1 meters, Time: 6.6 seconds
Name: -, Instruction: Turn right, Distance: 2.8 meters, Time: 2.0 seconds
Name: -, Instruction: Turn left, Distance: 130.7 meters, Time: 94.1 seconds
Name: Silverthorn Ave. to Venn Crescent Steps, Instruction: Turn right onto Silverthorn Ave. to Venn Crescent Steps, Distance: 90.0 meters, Time: 64.8 seconds
Name: -, Instruction: Keep left, Distance: 8.0 meters, Time: 5.7 seconds
Name: Cameron Avenue, Instruction: Turn left onto Cameron Avenue, Distance: 6.7 meters, Time: 4.8 seconds
Name: Silverthorn Avenue, Instruction: Turn right onto Silverthorn Avenue, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Turn left, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 211.8 meters, Time: 152.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
