Name: Hepburn Street, Instruction: Head south on Hepburn Street, Distance: 132.0 meters, Time: 95.1 seconds
Name: -, Instruction: Keep left, Distance: 15.6 meters, Time: 11.2 seconds
Name: -, Instruction: Turn right, Distance: 108.5 meters, Time: 78.1 seconds
Name: -, Instruction: Turn left, Distance: 139.5 meters, Time: 100.4 seconds
Name: -, Instruction: Turn right, Distance: 4.0 meters, Time: 2.9 seconds
Name: Pollen Street, Instruction: Turn left onto Pollen Street, Distance: 235.3 meters, Time: 169.4 seconds
Name: Great North Road, Instruction: Turn right onto Great North Road, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn left, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Turn right, Distance: 51.5 meters, Time: 37.1 seconds
Name: -, Instruction: Turn left, Distance: 108.0 meters, Time: 77.8 seconds
Name: -, Instruction: Turn right, Distance: 149.0 meters, Time: 107.3 seconds
Name: -, Instruction: Turn left, Distance: 82.2 meters, Time: 59.2 seconds
Name: -, Instruction: Turn left, Distance: 154.1 meters, Time: 110.9 seconds
Name: -, Instruction: Turn right, Distance: 3.2 meters, Time: 2.3 seconds
Name: Haslett Street, Instruction: Turn right onto Haslett Street, Distance: 15.9 meters, Time: 11.5 seconds
Name: Northwestern Path, Instruction: Turn left onto Northwestern Path, Distance: 226.5 meters, Time: 163.0 seconds
Name: Northwestern Path, Instruction: Keep right onto Northwestern Path, Distance: 232.7 meters, Time: 167.5 seconds
Name: Hesketh Street, Instruction: Turn left onto Hesketh Street, Distance: 122.7 meters, Time: 88.3 seconds
Name: -, Instruction: Turn right, Distance: 3.0 meters, Time: 2.2 seconds
Name: -, Instruction: Turn left, Distance: 24.9 meters, Time: 17.9 seconds
Name: -, Instruction: Turn left, Distance: 12.8 meters, Time: 9.2 seconds
Name: Aitken Terrace, Instruction: Turn right onto Aitken Terrace, Distance: 25.5 meters, Time: 18.3 seconds
Name: -, Instruction: Arrive at Aitken Terrace, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
