Name: Place des Combattants d'Indochine et de Corée, Instruction: Head north on Place des Combattants d'Indochine et de Corée, Distance: 15.7 meters, Time: 11.3 seconds
Name: Rue Henri Mayer, Instruction: Turn slight right onto Rue Henri Mayer, Distance: 24.8 meters, Time: 17.8 seconds
Name: Rue du Sergent Blandan, Instruction: Turn left onto Rue du Sergent Blandan, Distance: 95.7 meters, Time: 68.9 seconds
Name: Rue Guynemer, Instruction: Turn slight right onto Rue Guynemer, Distance: 231.9 meters, Time: 167.0 seconds
Name: Rue Guynemer, Instruction: Continue straight onto Rue Guynemer, Distance: 111.9 meters, Time: 80.5 seconds
Name: Allée Maryse Bastié, Instruction: Keep left onto Allée Maryse Bastié, Distance: 20.0 meters, Time: 14.4 seconds
Name: -, Instruction: Turn slight right, Distance: 12.3 meters, Time: 8.9 seconds
Name: Rue Guynemer, D 76, Instruction: Turn left onto Rue Guynemer, D 76, Distance: 9.1 meters, Time: 6.5 seconds
Name: Rue Guynemer, Instruction: Turn left onto Rue Guynemer, Distance: 168.1 meters, Time: 121.0 seconds
Name: -, Instruction: Turn right, Distance: 90.0 meters, Time: 64.8 seconds
Name: -, Instruction: Turn left, Distance: 52.0 meters, Time: 37.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 1.4 meters, Time: 1.0 seconds
Name: -, Instruction: Keep right, Distance: 357.4 meters, Time: 257.3 seconds
Name: -, Instruction: Turn right, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Turn left, Distance: 16.9 meters, Time: 12.1 seconds
Name: -, Instruction: Turn slight right, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Turn right, Distance: 94.3 meters, Time: 67.9 seconds
Name: -, Instruction: Turn left, Distance: 16.9 meters, Time: 12.1 seconds
Name: -, Instruction: Turn right, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn slight left, Distance: 317.7 meters, Time: 228.8 seconds
Name: -, Instruction: Turn left, Distance: 160.1 meters, Time: 115.2 seconds
Name: -, Instruction: Turn right, Distance: 12.7 meters, Time: 9.2 seconds
Name: -, Instruction: Turn slight left, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Keep left, Distance: 153.1 meters, Time: 110.2 seconds
Name: -, Instruction: Turn left, Distance: 13.1 meters, Time: 9.5 seconds
Name: -, Instruction: Turn left, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn right, Distance: 140.2 meters, Time: 101.0 seconds
Name: -, Instruction: Turn left, Distance: 10.5 meters, Time: 7.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
