Name: Dewbourne Avenue, Instruction: Head east on Dewbourne Avenue, Distance: 8.1 meters, Time: 5.9 seconds
Name: -, Instruction: Turn right, Distance: 91.2 meters, Time: 65.7 seconds
Name: -, Instruction: Turn slight right, Distance: 10.9 meters, Time: 7.9 seconds
Name: -, Instruction: Turn left, Distance: 1.4 meters, Time: 1.0 seconds
Name: -, Instruction: Keep left, Distance: 8.2 meters, Time: 5.9 seconds
Name: Strathearn Road, Instruction: Turn right onto Strathearn Road, Distance: 714.7 meters, Time: 514.6 seconds
Name: -, Instruction: Turn right, Distance: 251.3 meters, Time: 180.9 seconds
Name: Heathdale Road, Instruction: Turn left onto Heathdale Road, Distance: 314.5 meters, Time: 226.5 seconds
Name: Raglan Avenue, Instruction: Keep right onto Raglan Avenue, Distance: 116.5 meters, Time: 83.8 seconds
Name: -, Instruction: Keep left, Distance: 44.0 meters, Time: 31.7 seconds
Name: Claxton Boulevard, Instruction: Keep left onto Claxton Boulevard, Distance: 110.8 meters, Time: 79.8 seconds
Name: -, Instruction: Turn right, Distance: 5.9 meters, Time: 4.2 seconds
Name: -, Instruction: Turn left, Distance: 1.9 meters, Time: 1.4 seconds
Name: -, Instruction: Turn right, Distance: 187.2 meters, Time: 134.8 seconds
Name: -, Instruction: Turn left, Distance: 15.3 meters, Time: 11.0 seconds
Name: -, Instruction: Turn right, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Keep right, Distance: 282.9 meters, Time: 203.7 seconds
Name: -, Instruction: Turn left, Distance: 76.7 meters, Time: 55.3 seconds
Name: -, Instruction: Keep right, Distance: 123.9 meters, Time: 89.2 seconds
Name: -, Instruction: Turn left, Distance: 5.6 meters, Time: 4.0 seconds
Name: Hilton Avenue, Instruction: Turn right onto Hilton Avenue, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Arrive at Hilton Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
