Name: Tram Valley Road, Instruction: Head northeast on Tram Valley Road, Distance: 16.9 meters, Time: 12.2 seconds
Name: Kātote Avenue, Instruction: Turn right onto Kātote Avenue, Distance: 315.7 meters, Time: 227.3 seconds
Name: -, Instruction: Turn right, Distance: 8.4 meters, Time: 6.1 seconds
Name: -, Instruction: Turn slight left, Distance: 22.8 meters, Time: 16.4 seconds
Name: -, Instruction: Turn left, Distance: 8.0 meters, Time: 5.7 seconds
Name: Christian Road, Instruction: Turn right onto Christian Road, Distance: 60.8 meters, Time: 43.8 seconds
Name: Mettam Drive, Instruction: Continue straight onto Mettam Drive, Distance: 721.3 meters, Time: 519.3 seconds
Name: -, Instruction: Turn right, Distance: 7.6 meters, Time: 5.5 seconds
Name: -, Instruction: Turn left, Distance: 114.0 meters, Time: 82.1 seconds
Name: -, Instruction: Turn left, Distance: 425.3 meters, Time: 306.2 seconds
Name: -, Instruction: Turn left, Distance: 4.1 meters, Time: 3.0 seconds
Name: Candia Road, Instruction: Turn right onto Candia Road, Distance: 27.9 meters, Time: 20.1 seconds
Name: -, Instruction: Arrive at Candia Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
