Name: Wiesenstraße, Instruction: Head north on Wiesenstraße, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn right, Distance: 172.1 meters, Time: 123.9 seconds
Name: -, Instruction: Keep left, Distance: 62.4 meters, Time: 44.9 seconds
Name: -, Instruction: Keep right, Distance: 17.7 meters, Time: 12.8 seconds
Name: -, Instruction: Continue straight, Distance: 556.2 meters, Time: 400.5 seconds
Name: -, Instruction: Turn left, Distance: 200.8 meters, Time: 144.5 seconds
Name: -, Instruction: Turn right, Distance: 6.7 meters, Time: 4.8 seconds
Name: Ehrenbreitsteiner Straße, Instruction: Turn left onto Ehrenbreitsteiner Straße, Distance: 56.0 meters, Time: 40.3 seconds
Name: -, Instruction: Turn right, Distance: 58.4 meters, Time: 42.1 seconds
Name: -, Instruction: Turn left, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
