Name: Harrow Drive, Instruction: Head northeast on Harrow Drive, Distance: 305.2 meters, Time: 219.8 seconds
Name: Amesbury Drive, Instruction: Turn right onto Amesbury Drive, Distance: 268.8 meters, Time: 193.5 seconds
Name: Cavern Court, Instruction: Turn right onto Cavern Court, Distance: 6.3 meters, Time: 4.5 seconds
Name: -, Instruction: Turn left, Distance: 164.7 meters, Time: 118.6 seconds
Name: -, Instruction: Turn left, Distance: 109.3 meters, Time: 78.7 seconds
Name: -, Instruction: Turn right, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Turn left, Distance: 211.0 meters, Time: 151.9 seconds
Name: -, Instruction: Turn left, Distance: 25.0 meters, Time: 18.0 seconds
Name: -, Instruction: Turn slight left, Distance: 5.9 meters, Time: 4.3 seconds
Name: -, Instruction: Turn right, Distance: 521.2 meters, Time: 375.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
