Name: Riverton Close, Instruction: Head west on Riverton Close, Distance: 36.3 meters, Time: 26.1 seconds
Name: Ashmore Road, Instruction: Turn right onto Ashmore Road, Distance: 601.8 meters, Time: 433.3 seconds
Name: -, Instruction: Turn right, Distance: 28.7 meters, Time: 20.6 seconds
Name: -, Instruction: Turn left, Distance: 24.7 meters, Time: 17.8 seconds
Name: -, Instruction: Turn slight right, Distance: 10.1 meters, Time: 7.3 seconds
Name: -, Instruction: Turn slight left, Distance: 6.3 meters, Time: 4.5 seconds
Name: Premier Corner, Instruction: Turn right onto Premier Corner, Distance: 14.4 meters, Time: 10.4 seconds
Name: Salusbury Road, Instruction: Turn slight left onto Salusbury Road, Distance: 116.5 meters, Time: 83.9 seconds
Name: Harvist Road, B451, Instruction: Turn left onto Harvist Road, B451, Distance: 86.7 meters, Time: 62.4 seconds
Name: Dudley Road, Instruction: Turn right onto Dudley Road, Distance: 121.3 meters, Time: 87.3 seconds
Name: Summerfield Avenue, Instruction: Turn left onto Summerfield Avenue, Distance: 100.7 meters, Time: 72.5 seconds
Name: Kingswood Avenue, Instruction: Turn right onto Kingswood Avenue, Distance: 90.5 meters, Time: 65.2 seconds
Name: -, Instruction: Turn left, Distance: 8.4 meters, Time: 6.1 seconds
Name: -, Instruction: Keep right, Distance: 49.2 meters, Time: 35.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 127.2 meters, Time: 91.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 122.0 meters, Time: 87.8 seconds
Name: -, Instruction: Turn right, Distance: 150.5 meters, Time: 108.4 seconds
Name: Chevening Road, Instruction: Turn left onto Chevening Road, Distance: 7.6 meters, Time: 5.5 seconds
Name: Tiverton Road, Instruction: Turn right onto Tiverton Road, Distance: 204.3 meters, Time: 147.1 seconds
Name: -, Instruction: Turn right, Distance: 224.1 meters, Time: 161.4 seconds
Name: -, Instruction: Turn right, Distance: 14.7 meters, Time: 10.5 seconds
Name: Aylestone Avenue, Instruction: Turn right onto Aylestone Avenue, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Arrive at Aylestone Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
