Name: Whitby Road, Instruction: Head east on Whitby Road, Distance: 9.4 meters, Time: 6.8 seconds
Name: -, Instruction: Turn left, Distance: 11.6 meters, Time: 8.3 seconds
Name: -, Instruction: Turn left, Distance: 182.7 meters, Time: 131.5 seconds
Name: -, Instruction: Turn left, Distance: 19.3 meters, Time: 13.9 seconds
Name: -, Instruction: Turn right, Distance: 368.3 meters, Time: 265.2 seconds
Name: -, Instruction: Turn slight left, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Turn right, Distance: 878.8 meters, Time: 632.7 seconds
Name: -, Instruction: Turn left, Distance: 11.6 meters, Time: 8.3 seconds
Name: -, Instruction: Turn right, Distance: 44.3 meters, Time: 31.9 seconds
Name: -, Instruction: Turn left, Distance: 105.3 meters, Time: 75.8 seconds
Name: -, Instruction: Turn left, Distance: 32.3 meters, Time: 23.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
