Name: Linsmore Crescent, Instruction: Head north on Linsmore Crescent, Distance: 162.3 meters, Time: 116.9 seconds
Name: Plains Road, Instruction: Turn left onto Plains Road, Distance: 510.8 meters, Time: 367.8 seconds
Name: Lesmount Avenue, Instruction: Turn right onto Lesmount Avenue, Distance: 4.8 meters, Time: 3.4 seconds
Name: -, Instruction: Turn left, Distance: 98.1 meters, Time: 70.6 seconds
Name: -, Instruction: Turn right, Distance: 69.9 meters, Time: 50.3 seconds
Name: -, Instruction: Turn left, Distance: 526.7 meters, Time: 379.2 seconds
Name: -, Instruction: Turn right, Distance: 3.8 meters, Time: 2.7 seconds
Name: Woodville Avenue, Instruction: Turn left onto Woodville Avenue, Distance: 54.8 meters, Time: 39.5 seconds
Name: -, Instruction: Turn right, Distance: 95.9 meters, Time: 69.0 seconds
Name: -, Instruction: Turn left, Distance: 9.7 meters, Time: 7.0 seconds
Name: Pape Avenue, Instruction: Turn right onto Pape Avenue, Distance: 10.9 meters, Time: 7.8 seconds
Name: -, Instruction: Arrive at Pape Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
