Name: Evergreen Avenue, Instruction: Head north on Evergreen Avenue, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn left, Distance: 206.0 meters, Time: 148.3 seconds
Name: -, Instruction: Turn left, Distance: 70.5 meters, Time: 50.8 seconds
Name: -, Instruction: Keep right, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Turn slight left, Distance: 435.5 meters, Time: 313.5 seconds
Name: -, Instruction: Turn right, Distance: 0.9 meters, Time: 0.6 seconds
Name: -, Instruction: Turn left, Distance: 407.4 meters, Time: 293.3 seconds
Name: -, Instruction: Turn left, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn left, Distance: 74.4 meters, Time: 53.6 seconds
Name: Jalan Jamal, Instruction: Turn right onto Jalan Jamal, Distance: 155.5 meters, Time: 112.0 seconds
Name: Fourth Street, Instruction: Turn left onto Fourth Street, Distance: 105.7 meters, Time: 76.1 seconds
Name: Third Street, Instruction: Turn right onto Third Street, Distance: 43.0 meters, Time: 31.0 seconds
Name: Second Street, Instruction: Turn left onto Second Street, Distance: 4.1 meters, Time: 3.0 seconds
Name: -, Instruction: Turn left, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn right, Distance: 58.2 meters, Time: 41.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
