Name: Rua Pirapetinga, Instruction: Head southeast on Rua Pirapetinga, Distance: 153.2 meters, Time: 110.3 seconds
Name: Rua Sao Jorge, Instruction: Turn right onto Rua Sao Jorge, Distance: 10.9 meters, Time: 7.9 seconds
Name: -, Instruction: Continue straight, Distance: 281.9 meters, Time: 202.9 seconds
Name: Rua Elísio Padilha, Instruction: Turn left onto Rua Elísio Padilha, Distance: 20.7 meters, Time: 14.9 seconds
Name: Rua da Manga, Instruction: Turn right onto Rua da Manga, Distance: 90.7 meters, Time: 65.3 seconds
Name: Rua da Esperanca, Instruction: Turn right onto Rua da Esperanca, Distance: 113.9 meters, Time: 82.0 seconds
Name: -, Instruction: Turn left, Distance: 383.7 meters, Time: 276.2 seconds
Name: -, Instruction: Turn left, Distance: 17.7 meters, Time: 12.7 seconds
Name: -, Instruction: Turn left, Distance: 290.2 meters, Time: 209.0 seconds
Name: -, Instruction: Turn left, Distance: 20.5 meters, Time: 14.7 seconds
Name: -, Instruction: Turn right, Distance: 53.9 meters, Time: 38.8 seconds
Name: Rua Massapê, Instruction: Turn right onto Rua Massapê, Distance: 7.7 meters, Time: 5.6 seconds
Name: -, Instruction: Turn left, Distance: 109.9 meters, Time: 79.1 seconds
Name: -, Instruction: Turn left, Distance: 42.8 meters, Time: 30.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
