Name: Toni-Berger-Straße, Instruction: Head east on Toni-Berger-Straße, Distance: 27.8 meters, Time: 20.0 seconds
Name: -, Instruction: Turn right, Distance: 77.6 meters, Time: 55.9 seconds
Name: -, Instruction: Turn right, Distance: 231.5 meters, Time: 166.7 seconds
Name: -, Instruction: Turn slight left, Distance: 104.2 meters, Time: 75.1 seconds
Name: -, Instruction: Turn left, Distance: 5.2 meters, Time: 3.7 seconds
Name: Schussenrieder Straße, Instruction: Turn right onto Schussenrieder Straße, Distance: 101.9 meters, Time: 73.3 seconds
Name: -, Instruction: Turn right, Distance: 60.4 meters, Time: 43.5 seconds
Name: -, Instruction: Turn sharp left, Distance: 45.6 meters, Time: 32.8 seconds
Name: -, Instruction: Keep right, Distance: 12.7 meters, Time: 9.1 seconds
Name: -, Instruction: Keep right, Distance: 3.0 meters, Time: 2.1 seconds
Name: -, Instruction: Keep right, Distance: 7.7 meters, Time: 5.5 seconds
Name: -, Instruction: Turn right, Distance: 49.2 meters, Time: 35.4 seconds
Name: Wiedehopfweg, Instruction: Turn left onto Wiedehopfweg, Distance: 57.9 meters, Time: 41.7 seconds
Name: -, Instruction: Keep right, Distance: 77.1 meters, Time: 55.5 seconds
Name: -, Instruction: Turn left, Distance: 7.0 meters, Time: 5.0 seconds
Name: -, Instruction: Turn right, Distance: 10.2 meters, Time: 7.3 seconds
Name: Margot-Hielscher-Straße, Instruction: Turn left onto Margot-Hielscher-Straße, Distance: 31.5 meters, Time: 22.7 seconds
Name: -, Instruction: Turn left, Distance: 65.9 meters, Time: 47.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
