Name: Theydon Street, Instruction: Head northeast on Theydon Street, Distance: 22.4 meters, Time: 16.1 seconds
Name: Hibbert Road, Instruction: Turn right onto Hibbert Road, Distance: 56.6 meters, Time: 40.8 seconds
Name: Bridge Road, Instruction: Turn right onto Bridge Road, Distance: 435.1 meters, Time: 313.3 seconds
Name: Lea Bridge Road, Instruction: Turn right onto Lea Bridge Road, Distance: 87.7 meters, Time: 63.2 seconds
Name: -, Instruction: Turn right, Distance: 15.0 meters, Time: 10.8 seconds
Name: -, Instruction: Turn right, Distance: 271.1 meters, Time: 195.2 seconds
Name: Burwell Road, Instruction: Turn left onto Burwell Road, Distance: 2.8 meters, Time: 2.0 seconds
Name: Lea Bridge Road, Instruction: Turn right onto Lea Bridge Road, Distance: 115.0 meters, Time: 82.8 seconds
Name: -, Instruction: Turn left, Distance: 19.4 meters, Time: 14.0 seconds
Name: Argall Way, Instruction: Turn left onto Argall Way, Distance: 9.4 meters, Time: 6.8 seconds
Name: -, Instruction: Turn left, Distance: 17.3 meters, Time: 12.4 seconds
Name: Lea Bridge Road, Instruction: Turn right onto Lea Bridge Road, Distance: 236.7 meters, Time: 170.5 seconds
Name: Lammas Road, Instruction: Turn left onto Lammas Road, Distance: 28.3 meters, Time: 20.4 seconds
Name: -, Instruction: Turn right, Distance: 147.8 meters, Time: 106.4 seconds
Name: -, Instruction: Turn right, Distance: 84.2 meters, Time: 60.6 seconds
Name: -, Instruction: Keep left, Distance: 109.0 meters, Time: 78.5 seconds
Name: -, Instruction: Turn sharp left, Distance: 49.1 meters, Time: 35.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
