Name: Sari Place, Instruction: Head southwest on Sari Place, Distance: 51.9 meters, Time: 37.4 seconds
Name: -, Instruction: Turn right, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn left, Distance: 113.5 meters, Time: 81.7 seconds
Name: -, Instruction: Turn right, Distance: 124.9 meters, Time: 89.9 seconds
Name: -, Instruction: Keep left, Distance: 265.9 meters, Time: 191.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 13.8 meters, Time: 9.9 seconds
Name: -, Instruction: Turn right, Distance: 366.0 meters, Time: 263.5 seconds
Name: -, Instruction: Turn right, Distance: 15.3 meters, Time: 11.0 seconds
Name: -, Instruction: Turn left, Distance: 262.7 meters, Time: 189.1 seconds
Name: Northwestern Path, Instruction: Continue straight onto Northwestern Path, Distance: 40.9 meters, Time: 29.4 seconds
Name: -, Instruction: Continue straight, Distance: 219.1 meters, Time: 157.7 seconds
Name: -, Instruction: Turn slight right, Distance: 1.9 meters, Time: 1.4 seconds
Name: -, Instruction: Keep right, Distance: 87.5 meters, Time: 63.0 seconds
Name: -, Instruction: Turn left, Distance: 13.2 meters, Time: 9.5 seconds
Name: -, Instruction: Turn left, Distance: 120.7 meters, Time: 86.9 seconds
Name: -, Instruction: Turn left, Distance: 13.1 meters, Time: 9.5 seconds
Name: -, Instruction: Turn left, Distance: 308.3 meters, Time: 222.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
