Name: Blouzicht, Instruction: Head west on Blouzicht, Distance: 78.4 meters, Time: 56.5 seconds
Name: Willow Road, Instruction: Turn left onto Willow Road, Distance: 69.1 meters, Time: 49.8 seconds
Name: Porterfield Road, Instruction: Turn left onto Porterfield Road, Distance: 80.8 meters, Time: 58.2 seconds
Name: Porterfield Road, Instruction: Keep right onto Porterfield Road, Distance: 490.5 meters, Time: 353.1 seconds
Name: Park Road, Instruction: Turn right onto Park Road, Distance: 436.7 meters, Time: 314.4 seconds
Name: -, Instruction: Keep right, Distance: 52.8 meters, Time: 38.0 seconds
Name: -, Instruction: Turn slight right, Distance: 19.6 meters, Time: 14.1 seconds
Name: -, Instruction: Turn right, Distance: 88.0 meters, Time: 63.4 seconds
Name: -, Instruction: Turn right, Distance: 71.1 meters, Time: 51.2 seconds
Name: Raats Drive, Instruction: Turn right onto Raats Drive, Distance: 253.3 meters, Time: 182.3 seconds
Name: -, Instruction: Arrive at Raats Drive, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
