Name: Jack Christie Ln, Instruction: Head west on Jack Christie Ln, Distance: 6.6 meters, Time: 4.7 seconds
Name: -, Instruction: Turn right, Distance: 130.4 meters, Time: 93.9 seconds
Name: -, Instruction: Turn sharp right, Distance: 414.2 meters, Time: 298.2 seconds
Name: -, Instruction: Keep right, Distance: 69.6 meters, Time: 50.1 seconds
Name: -, Instruction: Keep left, Distance: 24.4 meters, Time: 17.5 seconds
Name: -, Instruction: Turn left, Distance: 10.4 meters, Time: 7.5 seconds
Name: -, Instruction: Turn right, Distance: 106.2 meters, Time: 76.4 seconds
Name: -, Instruction: Keep left, Distance: 46.3 meters, Time: 33.4 seconds
Name: -, Instruction: Turn right, Distance: 4.5 meters, Time: 3.3 seconds
Name: Yardley Avenue, Instruction: Turn left onto Yardley Avenue, Distance: 4.9 meters, Time: 3.6 seconds
Name: -, Instruction: Turn right, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Turn left, Distance: 31.9 meters, Time: 23.0 seconds
Name: -, Instruction: Turn right, Distance: 213.6 meters, Time: 153.8 seconds
Name: -, Instruction: Keep left, Distance: 548.2 meters, Time: 394.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
