Name: Moxon Street, Instruction: Head east on Moxon Street, Distance: 41.5 meters, Time: 29.8 seconds
Name: -, Instruction: Turn left, Distance: 89.2 meters, Time: 64.3 seconds
Name: -, Instruction: Turn right, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Turn left, Distance: 41.4 meters, Time: 29.8 seconds
Name: -, Instruction: Turn left, Distance: 12.6 meters, Time: 9.1 seconds
Name: -, Instruction: Turn left, Distance: 93.9 meters, Time: 67.6 seconds
Name: -, Instruction: Turn left, Distance: 17.4 meters, Time: 12.5 seconds
Name: -, Instruction: Turn left, Distance: 122.2 meters, Time: 88.0 seconds
Name: -, Instruction: Turn left, Distance: 33.9 meters, Time: 24.4 seconds
Name: -, Instruction: Turn right, Distance: 199.1 meters, Time: 143.3 seconds
Name: Park Square West, Instruction: Turn right onto Park Square West, Distance: 272.2 meters, Time: 196.0 seconds
Name: Albany Street, Instruction: Turn left onto Albany Street, Distance: 57.1 meters, Time: 41.1 seconds
Name: -, Instruction: Turn right, Distance: 21.5 meters, Time: 15.5 seconds
Name: -, Instruction: Turn left, Distance: 100.5 meters, Time: 72.4 seconds
Name: -, Instruction: Turn left, Distance: 200.4 meters, Time: 144.3 seconds
Name: -, Instruction: Turn right, Distance: 47.5 meters, Time: 34.2 seconds
Name: -, Instruction: Turn right, Distance: 14.6 meters, Time: 10.5 seconds
Name: -, Instruction: Keep left, Distance: 12.2 meters, Time: 8.8 seconds
Name: Clarence Gardens, Instruction: Turn sharp left onto Clarence Gardens, Distance: 36.9 meters, Time: 26.6 seconds
Name: -, Instruction: Arrive at Clarence Gardens, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
