Name: MacKenzie Road, Instruction: Head southeast on MacKenzie Road, Distance: 20.4 meters, Time: 14.7 seconds
Name: Mayne Road, Instruction: Keep left onto Mayne Road, Distance: 94.3 meters, Time: 67.9 seconds
Name: -, Instruction: Turn right, Distance: 16.0 meters, Time: 11.5 seconds
Name: -, Instruction: Turn left, Distance: 66.6 meters, Time: 47.9 seconds
Name: -, Instruction: Turn right, Distance: 19.8 meters, Time: 14.3 seconds
Name: Race Course Road, Instruction: Turn left onto Race Course Road, Distance: 49.4 meters, Time: 35.6 seconds
Name: -, Instruction: Turn right, Distance: 493.3 meters, Time: 355.2 seconds
Name: Race Course Lane, Instruction: Turn right onto Race Course Lane, Distance: 34.3 meters, Time: 24.7 seconds
Name: -, Instruction: Turn left, Distance: 65.4 meters, Time: 47.1 seconds
Name: Kinta Road, Instruction: Turn left onto Kinta Road, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn right, Distance: 117.5 meters, Time: 84.6 seconds
Name: Birch Road, Instruction: Turn left onto Birch Road, Distance: 1.6 meters, Time: 1.1 seconds
Name: Birch Road, Instruction: Keep right onto Birch Road, Distance: 20.3 meters, Time: 14.6 seconds
Name: Farrer Park Station Road, Instruction: Turn right onto Farrer Park Station Road, Distance: 190.5 meters, Time: 137.2 seconds
Name: Rangoon Road, Instruction: Turn left onto Rangoon Road, Distance: 26.6 meters, Time: 19.1 seconds
Name: Race Course Road, Instruction: Turn right onto Race Course Road, Distance: 61.1 meters, Time: 44.0 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
