Name: Allée de Longchamp, Instruction: Head northeast on Allée de Longchamp, Distance: 12.7 meters, Time: 9.1 seconds
Name: -, Instruction: Keep right, Distance: 27.8 meters, Time: 20.1 seconds
Name: Route des Lacs à Bagatelle, Instruction: Turn left onto Route des Lacs à Bagatelle, Distance: 29.1 meters, Time: 20.9 seconds
Name: -, Instruction: Turn slight right, Distance: 713.2 meters, Time: 513.5 seconds
Name: -, Instruction: Turn right, Distance: 36.3 meters, Time: 26.2 seconds
Name: -, Instruction: Turn right, Distance: 19.6 meters, Time: 14.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 181.1 meters, Time: 130.4 seconds
Name: -, Instruction: Keep left, Distance: 59.7 meters, Time: 43.0 seconds
Name: Route de l'Étoile, Instruction: Turn right onto Route de l'Étoile, Distance: 90.4 meters, Time: 65.1 seconds
Name: -, Instruction: Turn right, Distance: 144.1 meters, Time: 103.8 seconds
Name: Route de l'Étoile, Instruction: Turn slight right onto Route de l'Étoile, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Arrive at Route de l'Étoile, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
