Name: Marsiling Industrial Estate Road 3, Instruction: Head west on Marsiling Industrial Estate Road 3, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 282.0 meters, Time: 203.1 seconds
Name: -, Instruction: Turn right, Distance: 15.5 meters, Time: 11.2 seconds
Name: Woodlands (Ave 2) Park Connector, Instruction: Turn left onto Woodlands (Ave 2) Park Connector, Distance: 35.2 meters, Time: 25.3 seconds
Name: Woodlands (Ave 2) Park Connector, Instruction: Turn slight left onto Woodlands (Ave 2) Park Connector, Distance: 13.9 meters, Time: 10.0 seconds
Name: -, Instruction: Turn left, Distance: 435.1 meters, Time: 313.3 seconds
Name: -, Instruction: Turn right, Distance: 31.3 meters, Time: 22.6 seconds
Name: -, Instruction: Turn left, Distance: 49.9 meters, Time: 35.9 seconds
Name: -, Instruction: Turn left, Distance: 33.7 meters, Time: 24.3 seconds
Name: -, Instruction: Turn left, Distance: 827.1 meters, Time: 595.5 seconds
Name: -, Instruction: Turn left, Distance: 15.0 meters, Time: 10.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
