Name: Moxon Street, Instruction: Head west on Moxon Street, Distance: 68.2 meters, Time: 49.1 seconds
Name: -, Instruction: Turn left, Distance: 2.4 meters, Time: 1.7 seconds
Name: -, Instruction: Turn right, Distance: 18.1 meters, Time: 13.0 seconds
Name: -, Instruction: Turn right, Distance: 48.8 meters, Time: 35.1 seconds
Name: -, Instruction: Turn left, Distance: 23.2 meters, Time: 16.7 seconds
Name: -, Instruction: Turn right, Distance: 5.9 meters, Time: 4.2 seconds
Name: -, Instruction: Turn left, Distance: 26.7 meters, Time: 19.2 seconds
Name: -, Instruction: Turn slight right, Distance: 33.6 meters, Time: 24.2 seconds
Name: -, Instruction: Turn left, Distance: 56.8 meters, Time: 40.9 seconds
Name: -, Instruction: Turn right, Distance: 13.5 meters, Time: 9.7 seconds
Name: -, Instruction: Turn left, Distance: 14.3 meters, Time: 10.3 seconds
Name: -, Instruction: Turn right, Distance: 126.3 meters, Time: 90.9 seconds
Name: -, Instruction: Keep left, Distance: 16.8 meters, Time: 12.1 seconds
Name: David Mews, Instruction: Turn right onto David Mews, Distance: 3.0 meters, Time: 2.1 seconds
Name: Porter Street, Instruction: Turn left onto Porter Street, Distance: 205.7 meters, Time: 148.1 seconds
Name: -, Instruction: Arrive at Porter Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
