Name: Segar Road, Instruction: Head east on Segar Road, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn left, Distance: 5.2 meters, Time: 3.7 seconds
Name: -, Instruction: Turn right, Distance: 364.2 meters, Time: 262.2 seconds
Name: -, Instruction: Turn right, Distance: 715.0 meters, Time: 514.8 seconds
Name: -, Instruction: Turn right, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Turn slight left, Distance: 154.9 meters, Time: 111.5 seconds
Name: -, Instruction: Turn right, Distance: 54.4 meters, Time: 39.2 seconds
Name: Pang Sua Park Connector, Instruction: Turn left onto Pang Sua Park Connector, Distance: 36.1 meters, Time: 26.0 seconds
Name: -, Instruction: Continue straight, Distance: 251.8 meters, Time: 181.3 seconds
Name: -, Instruction: Turn right, Distance: 11.4 meters, Time: 8.2 seconds
Name: -, Instruction: Turn left, Distance: 23.0 meters, Time: 16.6 seconds
Name: -, Instruction: Turn right, Distance: 5.1 meters, Time: 3.7 seconds
Name: Gangsa Road, Instruction: Turn left onto Gangsa Road, Distance: 120.1 meters, Time: 86.4 seconds
Name: -, Instruction: Turn right, Distance: 24.0 meters, Time: 17.3 seconds
Name: -, Instruction: Turn right, Distance: 85.7 meters, Time: 61.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
