Name: Holborne Avenue, Instruction: Head east on Holborne Avenue, Distance: 724.0 meters, Time: 521.3 seconds
Name: Gledhill Avenue, Instruction: Turn right onto Gledhill Avenue, Distance: 48.3 meters, Time: 34.8 seconds
Name: -, Instruction: Turn left, Distance: 12.0 meters, Time: 8.6 seconds
Name: -, Instruction: Turn left, Distance: 60.7 meters, Time: 43.7 seconds
Name: -, Instruction: Turn left, Distance: 42.9 meters, Time: 30.9 seconds
Name: -, Instruction: Turn right, Distance: 19.3 meters, Time: 13.9 seconds
Name: -, Instruction: Turn left, Distance: 50.0 meters, Time: 36.0 seconds
Name: -, Instruction: Keep right, Distance: 138.2 meters, Time: 99.5 seconds
Name: -, Instruction: Turn left, Distance: 6.9 meters, Time: 5.0 seconds
Name: Everett Crescent, Instruction: Turn right onto Everett Crescent, Distance: 5.7 meters, Time: 4.1 seconds
Name: Wallington Avenue, Instruction: Turn left onto Wallington Avenue, Distance: 70.4 meters, Time: 50.7 seconds
Name: -, Instruction: Turn right, Distance: 74.8 meters, Time: 53.8 seconds
Name: -, Instruction: Turn slight left, Distance: 173.9 meters, Time: 125.2 seconds
Name: -, Instruction: Keep right, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Turn right, Distance: 36.2 meters, Time: 26.1 seconds
Name: -, Instruction: Keep left, Distance: 78.8 meters, Time: 56.7 seconds
Name: -, Instruction: Keep right, Distance: 111.0 meters, Time: 79.9 seconds
Name: -, Instruction: Keep right, Distance: 173.6 meters, Time: 125.0 seconds
Name: -, Instruction: Turn right, Distance: 5.9 meters, Time: 4.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
