Name: Rue du Général Henrys, Instruction: Head southeast on Rue du Général Henrys, Distance: 121.0 meters, Time: 87.1 seconds
Name: Rue Jean Leclaire, Instruction: Turn right onto Rue Jean Leclaire, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Turn left, Distance: 96.3 meters, Time: 69.3 seconds
Name: -, Instruction: Turn right, Distance: 151.3 meters, Time: 108.9 seconds
Name: -, Instruction: Turn left, Distance: 18.1 meters, Time: 13.0 seconds
Name: -, Instruction: Turn right, Distance: 186.1 meters, Time: 134.0 seconds
Name: -, Instruction: Turn left, Distance: 3.1 meters, Time: 2.3 seconds
Name: -, Instruction: Turn right, Distance: 20.6 meters, Time: 14.9 seconds
Name: -, Instruction: Turn left, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Keep right, Distance: 148.3 meters, Time: 106.8 seconds
Name: -, Instruction: Turn slight right, Distance: 155.7 meters, Time: 112.1 seconds
Name: -, Instruction: Turn left, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
