Name: Melrose Avenue, Instruction: Head southeast on Melrose Avenue, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Turn right, Distance: 41.4 meters, Time: 29.8 seconds
Name: -, Instruction: Turn right, Distance: 33.2 meters, Time: 23.9 seconds
Name: Garden Avenue, Instruction: Turn right onto Garden Avenue, Distance: 13.3 meters, Time: 9.6 seconds
Name: -, Instruction: Turn left, Distance: 68.0 meters, Time: 48.9 seconds
Name: Elmhurst Avenue, Instruction: Turn left onto Elmhurst Avenue, Distance: 132.8 meters, Time: 95.6 seconds
Name: Beecholme Avenue, Instruction: Turn right onto Beecholme Avenue, Distance: 186.6 meters, Time: 134.3 seconds
Name: -, Instruction: Turn right, Distance: 41.2 meters, Time: 29.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 42.8 meters, Time: 30.8 seconds
Name: Edgehill Road, Instruction: Turn right onto Edgehill Road, Distance: 431.5 meters, Time: 310.7 seconds
Name: -, Instruction: Turn left, Distance: 13.8 meters, Time: 10.0 seconds
Name: Sandy Lane, Instruction: Turn left onto Sandy Lane, Distance: 20.7 meters, Time: 14.9 seconds
Name: -, Instruction: Keep left, Distance: 85.3 meters, Time: 61.4 seconds
Name: Grove Road, Instruction: Turn left onto Grove Road, Distance: 122.3 meters, Time: 88.1 seconds
Name: Oakleigh Way, Instruction: Turn left onto Oakleigh Way, Distance: 462.1 meters, Time: 332.7 seconds
Name: -, Instruction: Turn left, Distance: 8.4 meters, Time: 6.0 seconds
Name: -, Instruction: Turn right, Distance: 29.0 meters, Time: 20.9 seconds
Name: Bennetts Close, Instruction: Turn sharp right onto Bennetts Close, Distance: 96.0 meters, Time: 69.1 seconds
Name: Lonesome Way, Instruction: Turn left onto Lonesome Way, Distance: 28.2 meters, Time: 20.3 seconds
Name: -, Instruction: Keep right, Distance: 14.4 meters, Time: 10.4 seconds
Name: -, Instruction: Turn left, Distance: 27.3 meters, Time: 19.7 seconds
Name: -, Instruction: Turn right, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Continue straight, Distance: 41.9 meters, Time: 30.2 seconds
Name: -, Instruction: Turn left, Distance: 15.3 meters, Time: 11.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
