Name: Cascades Road, Instruction: Head southeast on Cascades Road, Distance: 274.5 meters, Time: 197.6 seconds
Name: -, Instruction: Turn left, Distance: 350.3 meters, Time: 252.2 seconds
Name: -, Instruction: Keep left, Distance: 94.7 meters, Time: 68.2 seconds
Name: Sir Lloyd Drive, Instruction: Enter the roundabout and take the 4th exit onto Sir Lloyd Drive, Distance: 317.6 meters, Time: 228.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 20.4 meters, Time: 14.7 seconds
Name: -, Instruction: Keep left, Distance: 130.2 meters, Time: 93.8 seconds
Name: -, Instruction: Turn left, Distance: 411.8 meters, Time: 296.5 seconds
Name: -, Instruction: Turn right, Distance: 123.9 meters, Time: 89.2 seconds
Name: -, Instruction: Turn right, Distance: 20.4 meters, Time: 14.7 seconds
Name: -, Instruction: Turn left, Distance: 57.7 meters, Time: 41.5 seconds
Name: -, Instruction: Turn right, Distance: 15.9 meters, Time: 11.4 seconds
Name: -, Instruction: Turn left, Distance: 27.9 meters, Time: 20.1 seconds
Name: -, Instruction: Turn right, Distance: 81.9 meters, Time: 58.9 seconds
Name: -, Instruction: Turn left, Distance: 24.6 meters, Time: 17.7 seconds
Name: -, Instruction: Turn right, Distance: 39.5 meters, Time: 28.4 seconds
Name: -, Instruction: Turn left, Distance: 58.2 meters, Time: 41.9 seconds
Name: Pakuranga Road, 5, Instruction: Turn right onto Pakuranga Road, 5, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Turn left, Distance: 44.8 meters, Time: 32.3 seconds
Name: -, Instruction: Turn right, Distance: 7.0 meters, Time: 5.0 seconds
Name: -, Instruction: Turn left, Distance: 37.1 meters, Time: 26.7 seconds
Name: -, Instruction: Turn slight left, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn slight right, Distance: 176.3 meters, Time: 126.9 seconds
Name: Hutchinsons Road, Instruction: Turn left onto Hutchinsons Road, Distance: 58.1 meters, Time: 41.8 seconds
Name: -, Instruction: Turn left, Distance: 81.1 meters, Time: 58.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
