Name: Harrier Avenue, Instruction: Head north on Harrier Avenue, Distance: 230.0 meters, Time: 165.6 seconds
Name: Falcon Circuit, Instruction: Turn right onto Falcon Circuit, Distance: 353.4 meters, Time: 254.5 seconds
Name: Falcon Circuit, Instruction: Keep right onto Falcon Circuit, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn right, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Turn left, Distance: 9.1 meters, Time: 6.6 seconds
Name: -, Instruction: Turn slight right, Distance: 26.0 meters, Time: 18.7 seconds
Name: -, Instruction: Continue straight, Distance: 169.1 meters, Time: 121.8 seconds
Name: -, Instruction: Continue straight, Distance: 33.8 meters, Time: 24.3 seconds
Name: -, Instruction: Continue straight, Distance: 183.1 meters, Time: 131.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 19.9 meters, Time: 14.3 seconds
Name: Whitford Road, Instruction: Turn right onto Whitford Road, Distance: 11.3 meters, Time: 8.2 seconds
Name: Whitford Road, Instruction: Enter the roundabout and take the 2nd exit onto Whitford Road, Distance: 33.0 meters, Time: 23.8 seconds
Name: -, Instruction: Turn left, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 773.3 meters, Time: 556.8 seconds
Name: -, Instruction: Turn right, Distance: 31.9 meters, Time: 23.0 seconds
Name: -, Instruction: Turn right, Distance: 7.0 meters, Time: 5.0 seconds
Name: Whitford Road, Instruction: Turn left onto Whitford Road, Distance: 60.1 meters, Time: 43.3 seconds
Name: Albatross Avenue, Instruction: Turn right onto Albatross Avenue, Distance: 13.3 meters, Time: 9.6 seconds
Name: -, Instruction: Arrive at Albatross Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
