Name: شارع 3, Instruction: Head west on شارع 3, Distance: 519.8 meters, Time: 374.2 seconds
Name: طريق الشروق, Instruction: Turn left onto طريق الشروق, Distance: 38.9 meters, Time: 28.0 seconds
Name: -, Instruction: Turn right, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Turn right, Distance: 338.4 meters, Time: 243.6 seconds
Name: -, Instruction: Turn right, Distance: 4.2 meters, Time: 3.0 seconds
Name: طريق الشروق, Instruction: Turn left onto طريق الشروق, Distance: 250.4 meters, Time: 180.3 seconds
Name: -, Instruction: Turn right, Distance: 89.8 meters, Time: 64.6 seconds
Name: شارع عقبه بن نافع, Instruction: Turn left onto شارع عقبه بن نافع, Distance: 180.2 meters, Time: 129.7 seconds
Name: شارع الشيماء, Instruction: Turn left onto شارع الشيماء, Distance: 66.5 meters, Time: 47.9 seconds
Name: شارع الشيماء, Instruction: Continue straight onto شارع الشيماء, Distance: 122.9 meters, Time: 88.5 seconds
Name: شارع مصعب بن عمير, Instruction: Turn right onto شارع مصعب بن عمير, Distance: 8.7 meters, Time: 6.2 seconds
Name: شارع الزبير بن العوام, Instruction: Turn left onto شارع الزبير بن العوام, Distance: 66.9 meters, Time: 48.1 seconds
Name: -, Instruction: Arrive at شارع الزبير بن العوام, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
