Name: Glen Stewart Crescent, Instruction: Head north on Glen Stewart Crescent, Distance: 85.7 meters, Time: 61.7 seconds
Name: -, Instruction: Turn left, Distance: 352.0 meters, Time: 253.4 seconds
Name: -, Instruction: Turn right, Distance: 16.6 meters, Time: 12.0 seconds
Name: -, Instruction: Turn left, Distance: 20.4 meters, Time: 14.7 seconds
Name: -, Instruction: Keep left, Distance: 8.0 meters, Time: 5.8 seconds
Name: Brookside Drive, Instruction: Turn right onto Brookside Drive, Distance: 246.5 meters, Time: 177.5 seconds
Name: -, Instruction: Turn left, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Turn slight right, Distance: 3.1 meters, Time: 2.2 seconds
Name: -, Instruction: Turn right, Distance: 5.8 meters, Time: 4.2 seconds
Name: Burgess Avenue, Instruction: Turn left onto Burgess Avenue, Distance: 18.8 meters, Time: 13.6 seconds
Name: Cassels Park Trail, Instruction: Turn right onto Cassels Park Trail, Distance: 119.4 meters, Time: 85.9 seconds
Name: -, Instruction: Turn left, Distance: 49.5 meters, Time: 35.7 seconds
Name: Cassels Avenue, Instruction: Continue straight onto Cassels Avenue, Distance: 144.7 meters, Time: 104.2 seconds
Name: -, Instruction: Turn right, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Turn left, Distance: 78.7 meters, Time: 56.7 seconds
Name: -, Instruction: Turn right, Distance: 602.2 meters, Time: 433.6 seconds
Name: -, Instruction: Turn left, Distance: 110.7 meters, Time: 79.7 seconds
Name: -, Instruction: Turn right, Distance: 116.5 meters, Time: 83.9 seconds
Name: -, Instruction: Turn left, Distance: 5.1 meters, Time: 3.7 seconds
Name: Moberly Avenue, Instruction: Turn right onto Moberly Avenue, Distance: 34.4 meters, Time: 24.8 seconds
Name: -, Instruction: Turn left, Distance: 91.4 meters, Time: 65.8 seconds
Name: -, Instruction: Turn right, Distance: 61.3 meters, Time: 44.2 seconds
Name: Paul Estrela Lane, Instruction: Turn left onto Paul Estrela Lane, Distance: 6.0 meters, Time: 4.3 seconds
Name: Woodmount Avenue, Instruction: Turn right onto Woodmount Avenue, Distance: 34.9 meters, Time: 25.1 seconds
Name: -, Instruction: Turn left, Distance: 203.3 meters, Time: 146.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
