Name: Little Dorrit Court, Instruction: Head southeast on Little Dorrit Court, Distance: 98.9 meters, Time: 71.2 seconds
Name: -, Instruction: Turn left, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn right, Distance: 16.2 meters, Time: 11.7 seconds
Name: -, Instruction: Turn left, Distance: 73.8 meters, Time: 53.1 seconds
Name: Mermaid Court, Instruction: Turn right onto Mermaid Court, Distance: 107.9 meters, Time: 77.7 seconds
Name: Tennis Street, Instruction: Turn left onto Tennis Street, Distance: 53.5 meters, Time: 38.5 seconds
Name: Newcomen Street, Instruction: Turn right onto Newcomen Street, Distance: 155.8 meters, Time: 112.2 seconds
Name: Hamilton Square, Instruction: Turn right onto Hamilton Square, Distance: 23.5 meters, Time: 16.9 seconds
Name: Hamilton Square, Instruction: Turn left onto Hamilton Square, Distance: 18.4 meters, Time: 13.2 seconds
Name: Hamilton Square, Instruction: Turn left onto Hamilton Square, Distance: 39.8 meters, Time: 28.6 seconds
Name: Kipling Street, Instruction: Turn right onto Kipling Street, Distance: 44.1 meters, Time: 31.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 55.3 meters, Time: 39.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
