Name: Rua 30 de Setembro, Instruction: Head north on Rua 30 de Setembro, Distance: 157.7 meters, Time: 113.6 seconds
Name: Estrada do Magarça, Instruction: Turn right onto Estrada do Magarça, Distance: 626.2 meters, Time: 450.9 seconds
Name: Estrada do Magarça, Instruction: Continue straight onto Estrada do Magarça, Distance: 362.3 meters, Time: 260.9 seconds
Name: Estrada do Magarça, Instruction: Turn right onto Estrada do Magarça, Distance: 36.2 meters, Time: 26.0 seconds
Name: -, Instruction: Turn left, Distance: 18.0 meters, Time: 13.0 seconds
Name: -, Instruction: Turn right, Distance: 34.4 meters, Time: 24.8 seconds
Name: -, Instruction: Turn right, Distance: 9.5 meters, Time: 6.8 seconds
Name: Estrada do Monteiro, Instruction: Turn left onto Estrada do Monteiro, Distance: 403.0 meters, Time: 290.2 seconds
Name: -, Instruction: Turn right, Distance: 17.7 meters, Time: 12.8 seconds
Name: -, Instruction: Turn right, Distance: 32.0 meters, Time: 23.0 seconds
Name: -, Instruction: Turn left, Distance: 57.5 meters, Time: 41.4 seconds
Name: -, Instruction: Turn right, Distance: 93.8 meters, Time: 67.5 seconds
Name: -, Instruction: Turn left, Distance: 115.4 meters, Time: 83.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
