Name: Dick Johnson Drive, Instruction: Head west on Dick Johnson Drive, Distance: 17.8 meters, Time: 12.8 seconds
Name: -, Instruction: Turn left, Distance: 21.4 meters, Time: 15.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 227.4 meters, Time: 163.8 seconds
Name: -, Instruction: Keep right, Distance: 23.2 meters, Time: 16.7 seconds
Name: -, Instruction: Turn slight right, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn slight left, Distance: 365.3 meters, Time: 263.0 seconds
Name: -, Instruction: Turn slight left, Distance: 31.9 meters, Time: 23.0 seconds
Name: -, Instruction: Turn left, Distance: 215.0 meters, Time: 154.8 seconds
Name: -, Instruction: Turn right, Distance: 450.9 meters, Time: 324.7 seconds
Name: -, Instruction: Turn left, Distance: 312.6 meters, Time: 225.1 seconds
Name: Evans Street, Instruction: Turn sharp left onto Evans Street, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Enter the roundabout and take the 2nd exit, Distance: 15.5 meters, Time: 11.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
