Name: Flemingstraße, Instruction: Head southwest on Flemingstraße, Distance: 90.9 meters, Time: 65.5 seconds
Name: Redwitzstraße, Instruction: Turn right onto Redwitzstraße, Distance: 125.0 meters, Time: 90.0 seconds
Name: Mauerkircherstraße, Instruction: Turn left onto Mauerkircherstraße, Distance: 1063.4 meters, Time: 765.7 seconds
Name: -, Instruction: Turn right, Distance: 13.5 meters, Time: 9.7 seconds
Name: -, Instruction: Keep left, Distance: 42.5 meters, Time: 30.6 seconds
Name: -, Instruction: Turn slight right, Distance: 166.6 meters, Time: 120.0 seconds
Name: -, Instruction: Turn left, Distance: 13.1 meters, Time: 9.4 seconds
Name: Tivolistraße, Instruction: Turn right onto Tivolistraße, Distance: 58.8 meters, Time: 42.3 seconds
Name: Theodorparkstraße, Instruction: Turn left onto Theodorparkstraße, Distance: 172.2 meters, Time: 124.0 seconds
Name: Oettingenstraße, Instruction: Turn right onto Oettingenstraße, Distance: 19.6 meters, Time: 14.1 seconds
Name: Oettingenstraße, Instruction: Turn sharp left onto Oettingenstraße, Distance: 11.0 meters, Time: 7.9 seconds
Name: -, Instruction: Turn right, Distance: 17.4 meters, Time: 12.5 seconds
Name: -, Instruction: Turn right, Distance: 25.3 meters, Time: 18.2 seconds
Name: -, Instruction: Arrive at your destination, on the left, Distance: 0.0 meters, Time: 0.0 seconds
