Name: Long Street, Instruction: Head north on Long Street, Distance: 230.4 meters, Time: 165.9 seconds
Name: -, Instruction: Turn left, Distance: 98.0 meters, Time: 70.5 seconds
Name: Prospect Creek Cycle Path, Instruction: Turn slight right onto Prospect Creek Cycle Path, Distance: 478.2 meters, Time: 344.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 328.7 meters, Time: 236.7 seconds
Name: -, Instruction: Keep left, Distance: 38.9 meters, Time: 28.0 seconds
Name: Rhondda Street, Instruction: Turn left onto Rhondda Street, Distance: 473.0 meters, Time: 340.6 seconds
Name: Chifley Street, Instruction: Turn left onto Chifley Street, Distance: 122.8 meters, Time: 88.4 seconds
Name: Market Street, Instruction: Turn right onto Market Street, Distance: 238.5 meters, Time: 171.7 seconds
Name: -, Instruction: Turn left, Distance: 214.3 meters, Time: 154.3 seconds
Name: -, Instruction: Turn left, Distance: 210.9 meters, Time: 151.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
