Name: Oopunga Road, Instruction: Head south on Oopunga Road, Distance: 6.5 meters, Time: 4.6 seconds
Name: Nanjing Road, Instruction: Enter the roundabout and take the 1st exit onto Nanjing Road, Distance: 54.3 meters, Time: 39.1 seconds
Name: Piringa Road, Instruction: Enter the roundabout and take the 1st exit onto Piringa Road, Distance: 21.1 meters, Time: 15.2 seconds
Name: -, Instruction: Turn right, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Turn right, Distance: 217.2 meters, Time: 156.4 seconds
Name: -, Instruction: Turn slight left, Distance: 65.3 meters, Time: 47.0 seconds
Name: -, Instruction: Turn right, Distance: 95.1 meters, Time: 68.5 seconds
Name: -, Instruction: Turn right, Distance: 16.0 meters, Time: 11.5 seconds
Name: -, Instruction: Turn left, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Turn left, Distance: 481.2 meters, Time: 346.5 seconds
Name: -, Instruction: Turn right, Distance: 53.2 meters, Time: 38.3 seconds
Name: -, Instruction: Turn right, Distance: 251.1 meters, Time: 180.8 seconds
Name: Belgium Road, Instruction: Turn right onto Belgium Road, Distance: 98.0 meters, Time: 70.6 seconds
Name: Rongoa Maori Way, Instruction: Turn right onto Rongoa Maori Way, Distance: 62.8 meters, Time: 45.2 seconds
Name: Rongoa Maori Way, Instruction: Turn slight right onto Rongoa Maori Way, Distance: 66.5 meters, Time: 47.9 seconds
Name: -, Instruction: Arrive at Rongoa Maori Way, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
