Name: Swinburne Street, Instruction: Head west on Swinburne Street, Distance: 191.0 meters, Time: 137.5 seconds
Name: Falkirk Street, Instruction: Turn right onto Falkirk Street, Distance: 292.9 meters, Time: 210.9 seconds
Name: Ulster Road, Instruction: Turn left onto Ulster Road, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn left, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn right, Distance: 340.4 meters, Time: 245.1 seconds
Name: -, Instruction: Turn left, Distance: 73.0 meters, Time: 52.5 seconds
Name: New Lynn - Sandringham Cycleway, Instruction: Turn right onto New Lynn - Sandringham Cycleway, Distance: 21.1 meters, Time: 15.2 seconds
Name: New Lynn - Sandringham Cycleway, Instruction: Turn left onto New Lynn - Sandringham Cycleway, Distance: 62.2 meters, Time: 44.8 seconds
Name: Olympic Place, Instruction: Turn right onto Olympic Place, Distance: 35.0 meters, Time: 25.2 seconds
Name: Portage Ecoway, Instruction: Turn left onto Portage Ecoway, Distance: 125.6 meters, Time: 90.5 seconds
Name: -, Instruction: Turn right, Distance: 14.9 meters, Time: 10.7 seconds
Name: -, Instruction: Turn left, Distance: 280.8 meters, Time: 202.2 seconds
Name: Pūriri Street, Instruction: Keep left onto Pūriri Street, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn left, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
