Name: Namly Avenue, Instruction: Head west on Namly Avenue, Distance: 75.7 meters, Time: 54.5 seconds
Name: -, Instruction: Turn right, Distance: 78.0 meters, Time: 56.2 seconds
Name: Third Avenue, Instruction: Turn left onto Third Avenue, Distance: 179.9 meters, Time: 129.5 seconds
Name: Fourth Avenue, Instruction: Keep right onto Fourth Avenue, Distance: 12.9 meters, Time: 9.3 seconds
Name: pipeline track, Instruction: Keep left onto pipeline track, Distance: 180.4 meters, Time: 129.9 seconds
Name: pipeline track, Instruction: Continue straight onto pipeline track, Distance: 6.0 meters, Time: 4.3 seconds
Name: Fifth Avenue, Instruction: Turn slight right onto Fifth Avenue, Distance: 13.9 meters, Time: 10.0 seconds
Name: Fifth Avenue, Instruction: Keep right onto Fifth Avenue, Distance: 40.2 meters, Time: 28.9 seconds
Name: -, Instruction: Turn right, Distance: 1.2 meters, Time: 0.9 seconds
Name: -, Instruction: Turn left, Distance: 61.7 meters, Time: 44.4 seconds
Name: -, Instruction: Turn right, Distance: 87.0 meters, Time: 62.6 seconds
Name: -, Instruction: Turn left, Distance: 25.6 meters, Time: 18.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 62.2 meters, Time: 44.8 seconds
Name: -, Instruction: Turn left, Distance: 19.8 meters, Time: 14.3 seconds
Name: -, Instruction: Turn left, Distance: 92.3 meters, Time: 66.5 seconds
Name: -, Instruction: Turn left, Distance: 6.5 meters, Time: 4.7 seconds
Name: Dunearn Road, Instruction: Turn right onto Dunearn Road, Distance: 20.3 meters, Time: 14.6 seconds
Name: -, Instruction: Arrive at Dunearn Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
